timeProcessed,filename,score,detect
16-06-2024_22:12:46,./image/16-06-2024_22:12:45.jpg,0,0
16-06-2024_22:12:48,./image/16-06-2024_22:12:47.jpg,0,0
16-06-2024_22:12:52,./image/16-06-2024_22:12:51.jpg,0.6264718174934387,2
16-06-2024_22:12:54,./image/16-06-2024_22:12:53.jpg,0,0
16-06-2024_22:12:58,./image/16-06-2024_22:12:57.jpg,0,0
16-06-2024_22:13:00,./image/16-06-2024_22:12:59.jpg,0.6846053600311279,1
16-06-2024_22:13:04,./image/16-06-2024_22:13:03.jpg,0,0
16-06-2024_22:13:06,./image/16-06-2024_22:13:05.jpg,0,0
16-06-2024_22:13:10,./image/16-06-2024_22:13:09.jpg,0.5447711944580078,1
16-06-2024_22:13:12,./image/16-06-2024_22:13:11.jpg,0.7146872580051422,2
16-06-2024_22:13:16,./image/16-06-2024_22:13:16.jpg,0,0
16-06-2024_22:13:18,./image/16-06-2024_22:13:17.jpg,0.7392926812171936,1
16-06-2024_22:13:22,./image/16-06-2024_22:13:22.jpg,0,0
16-06-2024_22:13:24,./image/16-06-2024_22:13:23.jpg,0,0
16-06-2024_22:13:30,./image/16-06-2024_22:13:29.jpg,0.9175218939781189,1
16-06-2024_22:13:35,./image/16-06-2024_22:13:34.jpg,0,0
16-06-2024_22:13:36,./image/16-06-2024_22:13:35.jpg,0,0
16-06-2024_22:13:41,./image/16-06-2024_22:13:40.jpg,0,0
16-06-2024_22:13:42,./image/16-06-2024_22:13:41.jpg,0,0
16-06-2024_22:13:47,./image/16-06-2024_22:13:46.jpg,0.7193624973297119,1
16-06-2024_22:13:48,./image/16-06-2024_22:13:48.jpg,0.6623697876930237,1
16-06-2024_22:13:53,./image/16-06-2024_22:13:52.jpg,0,0
16-06-2024_22:13:59,./image/16-06-2024_22:13:58.jpg,0,0
16-06-2024_22:14:00,./image/16-06-2024_22:14:00.jpg,0,0
16-06-2024_22:14:05,./image/16-06-2024_22:14:04.jpg,0,0
16-06-2024_22:14:07,./image/16-06-2024_22:14:06.jpg,0,0
16-06-2024_22:14:11,./image/16-06-2024_22:14:10.jpg,0,0
16-06-2024_22:14:13,./image/16-06-2024_22:14:12.jpg,0.6749337017536163,2
16-06-2024_22:14:17,./image/16-06-2024_22:14:16.jpg,0,0
16-06-2024_22:14:19,./image/16-06-2024_22:14:18.jpg,0,0
16-06-2024_22:14:23,./image/16-06-2024_22:14:22.jpg,0,0
16-06-2024_22:14:25,./image/16-06-2024_22:14:24.jpg,0.7829767465591431,1
16-06-2024_22:14:29,./image/16-06-2024_22:14:28.jpg,0,0
16-06-2024_22:14:31,./image/16-06-2024_22:14:30.jpg,0.7098202556371689,2
16-06-2024_22:14:35,./image/16-06-2024_22:14:35.jpg,0,0
16-06-2024_22:14:37,./image/16-06-2024_22:14:36.jpg,0,0
16-06-2024_22:14:41,./image/16-06-2024_22:14:41.jpg,0,0
16-06-2024_22:14:43,./image/16-06-2024_22:14:42.jpg,0,0
16-06-2024_22:14:47,./image/16-06-2024_22:14:47.jpg,0,0
16-06-2024_22:14:49,./image/16-06-2024_22:14:48.jpg,0.7157802283763885,2
16-06-2024_22:14:53,./image/16-06-2024_22:14:53.jpg,0,0
16-06-2024_22:15:00,./image/16-06-2024_22:14:59.jpg,0.6685179620981216,2
16-06-2024_22:15:06,./image/16-06-2024_22:15:05.jpg,0,0
16-06-2024_22:15:07,./image/16-06-2024_22:15:06.jpg,0.9164527654647827,1
16-06-2024_22:15:13,./image/16-06-2024_22:15:13.jpg,0,0
16-06-2024_22:15:19,./image/16-06-2024_22:15:19.jpg,0,0
16-06-2024_22:15:25,./image/16-06-2024_22:15:25.jpg,0,0
16-06-2024_22:15:31,./image/16-06-2024_22:15:31.jpg,0,0
16-06-2024_22:15:36,./image/16-06-2024_22:15:35.jpg,0.5289055705070496,1
16-06-2024_22:15:42,./image/16-06-2024_22:15:41.jpg,0,0
16-06-2024_22:15:44,./image/16-06-2024_22:15:43.jpg,0,0
16-06-2024_22:15:48,./image/16-06-2024_22:15:47.jpg,0,0
16-06-2024_22:15:50,./image/16-06-2024_22:15:49.jpg,0.7345987856388092,2
16-06-2024_22:15:54,./image/16-06-2024_22:15:53.jpg,0,0
16-06-2024_22:15:56,./image/16-06-2024_22:15:55.jpg,0,0
16-06-2024_22:16:00,./image/16-06-2024_22:15:59.jpg,0,0
16-06-2024_22:16:02,./image/16-06-2024_22:16:01.jpg,0,0
16-06-2024_22:16:06,./image/16-06-2024_22:16:05.jpg,0,0
16-06-2024_22:16:08,./image/16-06-2024_22:16:07.jpg,0,0
16-06-2024_22:16:12,./image/16-06-2024_22:16:12.jpg,0,0
